payment_id,subscription_id,amount,payment_date
201,101,5299.99,2023-06-26
202,102,3.99,2023-06-05
203,102,3.99,2023-07-05
204,103,548.99,2023-05-10
205,103,548.99,2023-06-09
206,103,548.99,2023-07-09
207,104,31.99,2023-07-16
208,105,13.99,2023-06-27
209,106,1999.0,2023-07-04
210,107,37.99,2023-07-12
211,108,4.49,2023-07-27
212,109,4.99,2023-07-17
213,110,5299.99,2023-06-22
214,111,4.49,2023-06-11
215,111,4.49,2023-07-11
216,112,548.99,2023-06-05
217,112,548.99,2023-07-05
218,113,24.99,2023-06-05
219,114,1199.0,2023-05-06
220,115,548.99,2023-06-10
221,115,548.99,2023-07-10
222,116,3899.0,2023-06-07
223,117,548.99,2023-07-09
224,118,1999.0,2023-07-30
225,119,2749.99,2023-06-30
226,120,42.99,2023-05-12
227,121,19.99,2023-07-31
228,122,1539.99,2023-05-17
229,123,5299.99,2023-06-14
230,124,47.99,2023-07-18
231,125,2749.99,2023-05-02
232,126,10.99,2023-05-21
233,127,4.49,2023-06-11
234,127,4.49,2023-07-11
235,128,42.99,2023-07-07
236,129,499.0,2023-07-28
237,130,3899.0,2023-06-28
238,131,31.99,2023-07-25
239,132,4.49,2023-07-09
240,133,548.99,2023-07-19
241,134,499.0,2023-05-02
242,134,499.0,2023-06-01
243,134,499.0,2023-07-01
244,134,499.0,2023-07-31
245,135,1999.0,2023-05-02
246,136,31.99,2023-07-17
247,137,1999.0,2023-07-24
248,138,17.99,2023-05-25
249,139,12.49,2023-06-24
250,140,1999.0,2023-06-26
251,141,1539.99,2023-07-06
252,142,4.99,2023-07-02
253,143,10.99,2023-06-26
254,144,59.99,2023-06-03
255,145,47.99,2023-07-08
256,146,4.99,2023-06-16
257,146,4.99,2023-07-16
258,147,31.99,2023-05-14
259,148,4.99,2023-05-18
260,148,4.99,2023-06-17
261,148,4.99,2023-07-17
262,149,1999.0,2023-06-01
263,150,31.99,2023-06-11
264,151,17.99,2023-05-12
265,152,4.99,2023-05-22
266,152,4.99,2023-06-21
267,152,4.99,2023-07-21
268,153,1199.0,2023-06-28
269,154,22.49,2023-05-14
270,155,59.99,2023-07-02
271,156,4.49,2023-06-21
272,156,4.49,2023-07-21
273,157,31.99,2023-05-25
274,158,1539.99,2023-05-30
275,159,2749.99,2023-07-15
276,160,1199.0,2023-07-26
277,161,24.99,2023-05-22
278,162,4.49,2023-07-18
279,163,17.99,2023-05-02
280,163,17.99,2023-07-31
281,164,1999.0,2023-05-29
282,165,24.99,2023-05-21
283,166,19.99,2023-06-12
284,167,6.49,2023-05-29
285,167,6.49,2023-06-28
286,167,6.49,2023-07-28
287,168,548.99,2023-05-14
288,168,548.99,2023-06-13
289,168,548.99,2023-07-13
290,169,3899.0,2023-05-17
291,170,1999.0,2023-06-19
292,172,24.99,2023-05-03
293,173,59.99,2023-06-15
294,174,42.99,2023-05-13
295,175,24.99,2023-07-26
296,176,5299.99,2023-05-26
297,177,5299.99,2023-07-29
298,178,17.99,2023-07-22
299,179,499.0,2023-07-27
300,180,47.99,2023-07-28
301,181,548.99,2023-07-23
302,182,12.49,2023-05-22
303,183,499.0,2023-06-19
304,183,499.0,2023-07-19
305,184,548.99,2023-06-14
306,184,548.99,2023-07-14
307,185,12.49,2023-07-30
308,186,10.99,2023-06-09
309,187,10.99,2023-05-30
310,188,24.99,2023-07-21
311,189,13.99,2023-07-30
312,190,31.99,2023-06-14
313,191,22.49,2023-07-22
314,192,3899.0,2023-07-21
315,193,3899.0,2023-07-06
316,194,6.49,2023-05-31
317,194,6.49,2023-06-30
318,194,6.49,2023-07-30
319,195,59.99,2023-06-25
320,196,47.99,2023-05-22
321,197,548.99,2023-05-21
322,197,548.99,2023-06-20
323,197,548.99,2023-07-20
324,198,3899.0,2023-07-20
325,199,4.49,2023-05-26
326,199,4.49,2023-06-25
327,199,4.49,2023-07-25
328,200,1199.0,2023-05-05
329,201,1199.0,2023-05-07
330,202,59.99,2023-06-23
331,203,548.99,2023-06-16
332,203,548.99,2023-07-16
333,204,47.99,2023-06-23
334,205,548.99,2023-07-07
335,206,6.49,2023-05-13
336,206,6.49,2023-06-12
337,206,6.49,2023-07-12
338,207,37.99,2023-06-21
339,208,1539.99,2023-07-31
340,209,4.49,2023-07-18
341,210,31.99,2023-05-20
342,211,19.99,2023-06-08
343,212,47.99,2023-05-19
344,213,3899.0,2023-05-28
345,214,1999.0,2023-06-15
346,215,13.99,2023-07-07
347,216,6.49,2023-06-15
348,216,6.49,2023-07-15
349,217,4.99,2023-07-13
350,218,1199.0,2023-05-24
351,219,1999.0,2023-06-01
352,220,1199.0,2023-05-30
353,221,3.99,2023-06-22
354,221,3.99,2023-07-22
355,222,17.99,2023-05-01
356,222,17.99,2023-07-30
357,223,17.99,2023-07-01
358,224,12.49,2023-05-25
359,225,1999.0,2023-05-31
360,226,37.99,2023-05-11
361,227,31.99,2023-05-29
362,228,42.99,2023-07-09
363,229,3.99,2023-06-03
364,229,3.99,2023-07-03
365,230,548.99,2023-06-30
366,230,548.99,2023-07-30
367,231,19.99,2023-07-07
368,232,22.49,2023-07-19
369,233,22.49,2023-05-20
370,234,6.49,2023-05-16
371,234,6.49,2023-06-15
372,234,6.49,2023-07-15
373,235,24.99,2023-06-25
374,236,4.49,2023-05-07
375,236,4.49,2023-06-06
376,236,4.49,2023-07-06
377,237,22.49,2023-07-04
378,238,6.49,2023-05-07
379,238,6.49,2023-06-06
380,238,6.49,2023-07-06
381,239,37.99,2023-06-01
382,240,1199.0,2023-05-24
383,241,5299.99,2023-07-17
384,242,6.49,2023-06-29
385,242,6.49,2023-07-29
386,243,19.99,2023-05-23
387,244,1999.0,2023-05-08
388,245,4.49,2023-06-27
389,245,4.49,2023-07-27
390,246,10.99,2023-05-28
391,247,37.99,2023-07-17
392,248,5299.99,2023-06-23
393,249,17.99,2023-06-27
394,250,42.99,2023-07-29
395,251,3899.0,2023-06-12
396,252,13.99,2023-06-15
397,253,2749.99,2023-06-19
398,254,1539.99,2023-06-15
399,255,3899.0,2023-06-27
400,256,10.99,2023-06-06
401,257,499.0,2023-06-29
402,257,499.0,2023-07-29
403,258,10.99,2023-07-27
404,259,3899.0,2023-05-23
405,260,13.99,2023-05-07
406,261,3.99,2023-07-24
407,262,31.99,2023-06-18
408,263,2749.99,2023-05-15
409,264,19.99,2023-05-17
410,265,22.49,2023-05-28
411,266,37.99,2023-06-11
412,267,17.99,2023-05-24
413,268,42.99,2023-07-17
414,269,47.99,2023-05-07
415,270,47.99,2023-07-31
416,271,3.99,2023-06-28
417,271,3.99,2023-07-28
418,272,2749.99,2023-05-28
419,273,13.99,2023-05-26
420,274,5299.99,2023-06-06
421,275,2749.99,2023-05-05
422,276,6.49,2023-06-19
423,276,6.49,2023-07-19
424,277,17.99,2023-07-22
425,278,3.99,2023-07-17
426,279,22.49,2023-06-04
427,280,1199.0,2023-07-29
428,281,1999.0,2023-05-26
429,282,5299.99,2023-07-16
430,283,22.49,2023-07-02
431,284,548.99,2023-05-26
432,284,548.99,2023-06-25
433,284,548.99,2023-07-25
434,285,6.49,2023-06-21
435,285,6.49,2023-07-21
436,286,59.99,2023-05-29
437,287,12.49,2023-05-04
438,288,1539.99,2023-07-23
439,289,4.49,2023-05-12
440,289,4.49,2023-06-11
441,289,4.49,2023-07-11
442,290,548.99,2023-05-06
443,290,548.99,2023-06-05
444,290,548.99,2023-07-05
445,291,6.49,2023-06-30
446,291,6.49,2023-07-30
447,292,5299.99,2023-05-06
448,293,499.0,2023-05-14
449,293,499.0,2023-06-13
450,293,499.0,2023-07-13
451,294,13.99,2023-06-27
452,295,22.49,2023-05-10
453,296,6.49,2023-06-18
454,296,6.49,2023-07-18
455,297,10.99,2023-07-31
456,298,548.99,2023-07-22
457,299,12.49,2023-06-18
458,300,24.99,2023-07-26
459,301,4.49,2023-05-30
460,301,4.49,2023-06-29
461,301,4.49,2023-07-29
462,302,6.49,2023-05-04
463,302,6.49,2023-06-03
464,302,6.49,2023-07-03
465,303,6.49,2023-07-20
466,304,548.99,2023-07-25
467,305,3.99,2023-06-23
468,305,3.99,2023-07-23
469,306,37.99,2023-06-09
470,307,10.99,2023-05-08
471,308,1999.0,2023-07-19
472,309,3899.0,2023-07-15
473,310,1999.0,2023-07-02
474,311,47.99,2023-06-03
475,312,5299.99,2023-05-01
476,313,13.99,2023-07-15
477,314,5299.99,2023-05-10
478,315,17.99,2023-05-30
479,316,2749.99,2023-06-12
480,317,2749.99,2023-06-13
481,318,47.99,2023-07-23
482,319,5299.99,2023-06-20
483,321,3899.0,2023-05-07
484,322,19.99,2023-06-25
485,323,17.99,2023-07-13
486,324,19.99,2023-05-22
487,325,1539.99,2023-05-27
488,326,6.49,2023-06-24
489,326,6.49,2023-07-24
490,327,22.49,2023-07-12
491,328,47.99,2023-06-16
492,329,1539.99,2023-07-25
493,330,22.49,2023-06-19
494,331,4.49,2023-05-23
495,331,4.49,2023-06-22
496,331,4.49,2023-07-22
497,332,1999.0,2023-05-15
498,333,42.99,2023-05-17
499,334,548.99,2023-05-02
500,334,548.99,2023-06-01
501,334,548.99,2023-07-01
502,334,548.99,2023-07-31
503,335,22.49,2023-06-13
504,336,1539.99,2023-05-04
505,337,5299.99,2023-05-04
506,338,37.99,2023-05-12
507,339,3899.0,2023-07-03
508,340,12.49,2023-06-05
509,341,1199.0,2023-06-19
510,342,22.49,2023-05-26
511,343,31.99,2023-05-08
512,344,499.0,2023-07-19
513,345,3899.0,2023-07-09
514,346,47.99,2023-07-30
515,347,37.99,2023-05-05
516,348,31.99,2023-05-10
517,349,4.99,2023-07-30
518,350,4.99,2023-07-11
519,351,31.99,2023-05-23
520,352,1199.0,2023-06-17
521,353,2749.99,2023-06-07
522,354,19.99,2023-06-04
523,355,1199.0,2023-05-11
524,356,1999.0,2023-05-16
525,357,3.99,2023-05-07
526,357,3.99,2023-06-06
527,357,3.99,2023-07-06
528,358,499.0,2023-06-08
529,358,499.0,2023-07-08
530,359,5299.99,2023-06-07
531,360,5299.99,2023-05-21
532,361,4.49,2023-06-10
533,361,4.49,2023-07-10
534,362,1199.0,2023-05-10
535,363,24.99,2023-06-07
536,364,3899.0,2023-06-17
537,365,1539.99,2023-05-06
538,366,4.49,2023-07-20
539,367,59.99,2023-05-28
540,368,59.99,2023-06-20
541,369,59.99,2023-05-14
542,370,31.99,2023-05-23
543,371,1999.0,2023-07-04
544,372,31.99,2023-06-15
545,373,24.99,2023-06-13
546,374,5299.99,2023-06-25
547,375,47.99,2023-06-18
548,376,17.99,2023-06-05
549,377,6.49,2023-05-09
550,377,6.49,2023-06-08
551,377,6.49,2023-07-08
552,378,1999.0,2023-06-11
553,379,499.0,2023-05-20
554,379,499.0,2023-06-19
555,379,499.0,2023-07-19
556,380,19.99,2023-07-10
557,381,42.99,2023-06-23
558,382,17.99,2023-06-16
559,383,59.99,2023-06-09
560,384,5299.99,2023-05-29
561,385,548.99,2023-05-06
562,385,548.99,2023-06-05
563,385,548.99,2023-07-05
564,386,1199.0,2023-07-06
565,387,3899.0,2023-06-03
566,388,42.99,2023-05-22
567,389,24.99,2023-07-02
568,390,1539.99,2023-05-21
569,391,37.99,2023-07-07
570,392,19.99,2023-07-02
571,393,1999.0,2023-06-14
572,394,1539.99,2023-05-22
573,395,4.49,2023-05-20
574,395,4.49,2023-06-19
575,395,4.49,2023-07-19
576,396,4.99,2023-07-12
577,397,5299.99,2023-06-07
578,398,10.99,2023-05-29
579,399,5299.99,2023-06-20
580,400,3.99,2023-07-27
581,401,12.49,2023-06-06
582,402,10.99,2023-06-13
583,403,499.0,2023-06-02
584,403,499.0,2023-07-02
585,404,1999.0,2023-06-29
586,405,499.0,2023-06-26
587,405,499.0,2023-07-26
588,406,17.99,2023-06-03
589,407,6.49,2023-06-02
590,407,6.49,2023-07-02
591,408,1539.99,2023-06-30
592,409,6.49,2023-07-17
593,410,499.0,2023-05-23
594,410,499.0,2023-06-22
595,410,499.0,2023-07-22
596,411,10.99,2023-06-19
597,412,4.49,2023-07-07
598,413,4.49,2023-05-24
599,413,4.49,2023-06-23
600,413,4.49,2023-07-23
601,414,12.49,2023-05-22
602,415,3899.0,2023-05-05
603,416,12.49,2023-07-10
604,417,4.49,2023-05-16
605,417,4.49,2023-06-15
606,417,4.49,2023-07-15
607,418,19.99,2023-07-26
608,419,499.0,2023-05-28
609,419,499.0,2023-06-27
610,419,499.0,2023-07-27
611,420,6.49,2023-06-16
612,420,6.49,2023-07-16
613,421,13.99,2023-05-23
614,422,1999.0,2023-07-11
615,423,42.99,2023-05-14
616,424,2749.99,2023-05-15
617,425,1999.0,2023-06-22
618,426,5299.99,2023-05-08
619,427,47.99,2023-05-13
620,428,24.99,2023-06-22
621,429,2749.99,2023-05-07
622,430,1199.0,2023-07-12
623,431,1539.99,2023-06-23
624,432,1199.0,2023-07-09
625,433,10.99,2023-06-05
626,434,2749.99,2023-06-09
627,435,3899.0,2023-06-29
628,436,42.99,2023-05-18
629,437,42.99,2023-07-03
630,438,42.99,2023-07-31
631,439,1539.99,2023-06-30
632,440,1539.99,2023-07-22
633,441,47.99,2023-05-19
634,442,4.49,2023-05-30
635,442,4.49,2023-06-29
636,442,4.49,2023-07-29
637,443,47.99,2023-07-27
638,444,10.99,2023-06-22
639,445,13.99,2023-07-31
640,446,2749.99,2023-05-02
641,447,22.49,2023-07-31
642,448,47.99,2023-07-29
643,449,6.49,2023-06-25
644,449,6.49,2023-07-25
645,450,1539.99,2023-06-04
646,451,24.99,2023-06-09
647,452,59.99,2023-07-07
648,453,2749.99,2023-05-03
649,454,12.49,2023-05-29
650,455,22.49,2023-06-09
651,456,24.99,2023-05-29
652,457,5299.99,2023-06-13
653,458,2749.99,2023-07-31
654,459,42.99,2023-07-04
655,460,499.0,2023-05-21
656,460,499.0,2023-06-20
657,460,499.0,2023-07-20
658,461,22.49,2023-06-18
659,462,6.49,2023-06-04
660,462,6.49,2023-07-04
661,463,13.99,2023-06-10
662,464,1199.0,2023-05-06
663,465,10.99,2023-05-10
664,466,6.49,2023-07-12
665,467,19.99,2023-07-16
666,468,4.49,2023-05-04
667,468,4.49,2023-06-03
668,468,4.49,2023-07-03
669,469,42.99,2023-07-09
670,470,3899.0,2023-07-26
671,471,24.99,2023-07-18
672,472,12.49,2023-06-20
673,473,3899.0,2023-06-20
674,474,1539.99,2023-07-15
675,475,548.99,2023-05-09
676,475,548.99,2023-06-08
677,475,548.99,2023-07-08
678,476,59.99,2023-07-27
679,477,59.99,2023-05-31
680,478,4.49,2023-05-01
681,478,4.49,2023-05-31
682,478,4.49,2023-06-30
683,478,4.49,2023-07-30
684,479,5299.99,2023-06-14
685,480,24.99,2023-06-08
686,481,42.99,2023-06-18
687,482,59.99,2023-05-02
688,483,10.99,2023-07-07
689,484,3899.0,2023-05-29
690,485,12.49,2023-07-12
691,486,22.49,2023-05-06
692,487,22.49,2023-07-13
693,488,12.49,2023-06-04
694,489,13.99,2023-06-18
695,490,13.99,2023-05-01
696,490,13.99,2023-07-30
697,491,3899.0,2023-05-03
698,492,3.99,2023-07-20
699,493,22.49,2023-07-23
700,494,10.99,2023-05-04
701,495,499.0,2023-05-25
702,495,499.0,2023-06-24
703,495,499.0,2023-07-24
704,496,42.99,2023-07-07
705,497,1199.0,2023-07-09
706,498,3.99,2023-05-22
707,498,3.99,2023-06-21
708,498,3.99,2023-07-21
709,499,24.99,2023-05-05
710,500,6.49,2023-05-06
711,500,6.49,2023-06-05
712,500,6.49,2023-07-05
713,501,31.99,2023-06-19
714,502,6.49,2023-07-22
715,503,1539.99,2023-05-23
716,504,22.49,2023-06-28
717,505,548.99,2023-07-20
718,506,4.49,2023-06-03
719,506,4.49,2023-07-03
720,507,24.99,2023-07-02
721,508,12.49,2023-06-08
722,509,548.99,2023-06-19
723,509,548.99,2023-07-19
724,510,37.99,2023-07-17
725,511,31.99,2023-07-25
726,512,10.99,2023-05-02
727,512,10.99,2023-07-31
728,513,3.99,2023-06-28
729,513,3.99,2023-07-28
730,514,10.99,2023-05-27
731,515,1199.0,2023-05-12
732,516,2749.99,2023-06-10
733,517,548.99,2023-06-20
734,517,548.99,2023-07-20
735,518,10.99,2023-05-19
