user_id,transaction_date,amount
274,2023-08-03,443
274,2023-08-03,312
159,2023-08-29,366
304,2023-08-03,556
276,2023-08-14,526
276,2023-08-14,501
276,2023-08-14,706
299,2023-08-19,478
299,2023-08-19,605
299,2023-08-19,655
239,2023-08-07,444
287,2023-08-23,323
259,2023-08-28,465
259,2023-08-28,696
331,2023-08-13,557
331,2023-08-13,569
331,2023-08-13,605
158,2023-08-18,756
372,2023-08-10,638
372,2023-08-10,332
107,2023-08-23,424
40,2023-08-28,784
40,2023-08-28,462
335,2023-08-22,480
335,2023-08-22,361
266,2023-08-20,707
266,2023-08-20,743
313,2023-08-21,594
313,2023-08-21,372
15,2023-08-12,359
15,2023-08-12,514
15,2023-08-12,790
298,2023-08-21,506
298,2023-08-21,438
102,2023-08-15,526
102,2023-08-15,556
102,2023-08-15,402
254,2023-08-19,591
254,2023-08-19,313
154,2023-08-11,746
154,2023-08-11,387
147,2023-08-19,511
147,2023-08-19,478
147,2023-08-19,498
291,2023-08-22,477
291,2023-08-22,747
90,2023-08-04,581
90,2023-08-04,682
239,2023-08-04,530
239,2023-08-04,460
239,2023-08-04,573
292,2023-08-02,326
292,2023-08-02,706
258,2023-08-24,398
258,2023-08-24,362
317,2023-08-20,387
317,2023-08-20,560
243,2023-08-04,602
243,2023-08-04,450
243,2023-08-04,362
148,2023-08-12,676
148,2023-08-12,736
148,2023-08-12,315
55,2023-08-03,767
55,2023-08-03,558
55,2023-08-03,359
156,2023-08-30,605
156,2023-08-30,410
156,2023-08-30,615
158,2023-08-28,380
158,2023-08-28,779
158,2023-08-28,383
271,2023-08-08,461
313,2023-08-16,641
313,2023-08-16,416
313,2023-08-16,377
36,2023-08-22,723
72,2023-08-12,579
72,2023-08-12,425
72,2023-08-12,494
23,2023-08-27,473
23,2023-08-27,696
23,2023-08-27,745
190,2023-08-08,570
309,2023-08-28,631
32,2023-08-28,555
315,2023-08-06,317
259,2023-08-13,374
259,2023-08-13,410
259,2023-08-13,322
114,2023-08-22,323
114,2023-08-22,612
129,2023-08-11,538
129,2023-08-11,673
334,2023-08-28,314
99,2023-08-19,322
99,2023-08-19,473
99,2023-08-19,589
292,2023-08-21,427
292,2023-08-21,727
159,2023-08-04,699
159,2023-08-04,535
159,2023-08-04,361
242,2023-08-27,526
308,2023-08-05,738
304,2023-08-20,369
224,2023-08-29,425
224,2023-08-29,798
224,2023-08-29,615
144,2023-08-03,628
136,2023-08-28,475
136,2023-08-28,759
270,2023-08-04,619
270,2023-08-04,715
270,2023-08-04,754
103,2023-08-24,615
103,2023-08-24,722
103,2023-08-24,771
232,2023-08-24,339
232,2023-08-24,504
232,2023-08-24,386
61,2023-08-03,706
136,2023-08-17,552
167,2023-08-19,731
258,2023-08-24,726
258,2023-08-24,497
115,2023-08-14,545
382,2023-08-23,557
382,2023-08-23,467
189,2023-08-29,770
189,2023-08-29,669
189,2023-08-29,525
233,2023-08-01,708
233,2023-08-01,491
233,2023-08-01,558
244,2023-08-14,563
22,2023-08-22,756
22,2023-08-22,749
227,2023-08-07,763
227,2023-08-07,543
227,2023-08-07,723
394,2023-08-24,339
394,2023-08-24,490
397,2023-08-30,721
397,2023-08-30,597
144,2023-08-17,376
144,2023-08-17,336
297,2023-08-02,691
297,2023-08-02,504
103,2023-08-04,735
103,2023-08-04,650
103,2023-08-04,492
142,2023-08-17,623
142,2023-08-17,704
142,2023-08-17,531
176,2023-08-12,683
176,2023-08-12,449
176,2023-08-12,507
183,2023-08-23,619
183,2023-08-23,672
183,2023-08-23,406
246,2023-08-17,386
292,2023-08-07,533
115,2023-08-09,686
115,2023-08-09,479
115,2023-08-08,412
115,2023-08-08,493
