trade_id,client_id,salesperson_id,trade_date,facevalue,actual_revenue,churn_date
1,116,16,2023-07-31,881811,477530,2023-08-11
2,92,71,2023-05-15,733631,750452,
3,539,38,2023-05-26,507734,523856,
4,386,18,2023-05-27,558857,566600,
5,65,2,2023-01-25,735998,458296,2023-07-14
6,179,71,2023-05-06,76832,98695,
7,112,50,2023-07-05,341346,343475,
8,35,13,2023-06-12,653809,657840,
9,120,57,2023-06-23,854844,873868,
10,719,40,2023-03-29,618069,293692,2023-04-12
11,640,61,2023-01-03,132470,136771,
12,448,48,2023-07-02,878993,902239,
13,141,37,2023-05-27,354746,368327,
14,239,34,2023-02-25,728165,732250,
15,35,61,2023-03-13,946997,229909,2023-07-29
16,331,54,2023-06-29,742580,760797,
17,8,58,2023-03-31,264986,280706,
18,130,19,2023-07-11,199342,192520,2023-08-08
19,140,17,2023-05-13,508847,552929,
20,559,61,2023-08-11,991867,804808,2023-08-11
21,454,65,2023-03-21,441202,473919,
22,132,29,2023-05-28,407853,416430,
23,157,38,2023-06-24,399886,408735,
24,79,62,2023-05-15,130748,163328,
25,315,27,2023-08-02,307421,317961,
26,714,69,2023-07-15,271995,272243,
27,48,52,2023-07-25,897169,899052,
28,589,44,2022-11-18,121173,129536,
29,4,33,2023-06-15,527746,562241,
30,49,66,2023-05-31,566423,611085,
31,103,8,2023-04-19,302272,345870,
32,715,66,2023-06-30,378863,375803,2023-07-20
33,260,60,2023-03-23,920435,937249,
34,544,66,2023-07-15,82485,145975,
35,155,43,2023-03-14,611661,458166,2023-05-15
36,588,60,2023-07-20,891467,900623,
37,354,60,2023-05-24,931217,932874,
38,539,33,2023-08-03,85137,99098,
39,739,18,2023-08-07,69955,128625,
40,83,64,2023-03-19,77113,96727,
41,727,53,2023-06-19,251311,263003,
42,589,73,2023-08-08,515871,143608,2023-08-08
43,219,63,2023-04-10,726242,744549,
44,117,1,2023-07-20,290980,311483,
45,538,3,2023-02-18,607275,628975,
46,162,17,2023-07-28,163608,222074,
47,706,46,2023-06-03,389922,419151,
48,142,58,2023-06-08,754825,325881,2023-06-23
49,525,35,2023-05-15,652679,383552,2023-06-03
50,624,1,2023-02-17,151726,197910,
51,616,14,2023-07-29,988345,1004126,
52,118,7,2023-06-28,249994,265469,
53,603,42,2023-06-14,363164,406468,
54,109,53,2023-05-30,167695,232040,
55,692,7,2023-07-08,723661,690907,2023-08-11
56,92,46,2023-04-06,107493,131535,
57,387,60,2023-02-18,487377,501515,
58,730,33,2023-05-31,813930,828062,
59,247,28,2023-08-04,238320,262473,
60,86,29,2023-05-01,794120,804078,
61,385,20,2023-06-24,735820,755605,
62,410,25,2023-04-24,352046,362256,
63,275,1,2023-05-28,810055,814701,
64,68,23,2023-02-08,414719,427383,
65,125,12,2023-08-04,247491,299049,
66,353,61,2022-10-11,711129,146106,2023-06-22
67,287,32,2023-05-25,940829,959066,
68,383,36,2023-02-16,856373,448149,2023-06-03
69,678,5,2023-07-29,362377,396158,
70,698,40,2023-05-17,894610,901044,
71,221,62,2023-07-03,149454,149499,
72,574,51,2023-07-14,666742,692006,
73,195,70,2023-01-11,55661,98856,
74,74,46,2023-07-18,60752,113301,
75,159,29,2023-05-27,247869,252902,
76,526,15,2023-03-23,798639,812397,
77,632,30,2023-07-31,601728,627380,
78,254,44,2023-07-14,466249,275820,2023-07-18
79,61,2,2023-07-15,503994,306122,2023-07-27
80,575,13,2023-06-10,890040,552540,2023-07-17
81,732,10,2023-06-23,893684,431950,2023-08-08
82,326,51,2023-01-02,930161,946462,
83,615,67,2023-02-24,705430,464764,2023-03-03
84,412,21,2023-07-12,783532,405658,2023-08-05
85,627,73,2023-08-10,101922,107422,
86,141,20,2023-05-30,323710,332903,
87,419,36,2023-02-05,739332,761489,
88,257,60,2023-06-17,480336,227555,2023-07-25
89,351,4,2023-05-15,701897,232394,2023-06-17
90,185,58,2023-08-05,114166,111327,2023-08-11
91,231,7,2023-04-27,467624,279237,2023-07-04
92,197,5,2023-02-24,137504,156987,
93,428,4,2023-08-01,398317,401707,
94,452,69,2023-06-19,563966,573795,
95,255,41,2023-07-14,634824,244289,2023-08-03
96,574,36,2023-07-23,562509,161287,2023-08-01
97,686,6,2022-12-24,779417,795384,
98,175,25,2023-08-01,985197,988688,
99,148,29,2023-02-28,147489,183693,
100,63,5,2023-06-19,911803,47359,2023-06-30
101,99,34,2023-06-13,131344,182591,
102,543,33,2023-07-03,603224,116571,2023-07-04
103,260,72,2023-04-15,146099,185502,
104,553,39,2022-12-24,269997,278277,
105,187,37,2023-06-23,76178,127527,
106,445,27,2023-04-22,249886,285923,
107,292,7,2023-06-21,132965,151376,
108,637,52,2023-03-10,376398,397260,
109,275,49,2023-07-24,241230,245680,
110,515,67,2023-04-27,810015,418283,2023-07-28
111,650,56,2023-08-11,587060,598578,
112,494,32,2023-08-03,885500,614820,2023-08-07
113,393,29,2023-04-17,947101,454322,2023-07-25
114,63,49,2023-07-09,583209,609356,
115,444,40,2023-07-13,369208,375565,
116,374,50,2023-02-25,703352,295622,2023-06-25
117,92,62,2023-04-11,860990,358617,2023-06-14
118,752,23,2023-07-02,856611,863105,
119,602,3,2023-01-27,388551,238926,2023-02-15
120,91,30,2023-06-07,103412,116249,
121,561,44,2023-08-04,106818,129258,
122,671,70,2023-01-17,324962,369357,
123,313,13,2023-07-15,555872,557792,
124,487,29,2023-07-03,455220,475635,
125,49,29,2022-09-28,714533,720562,
126,727,67,2023-07-29,682587,699298,
127,160,52,2023-07-01,764505,774668,
128,642,55,2023-07-15,339840,343826,
129,667,26,2023-06-11,315673,48156,2023-07-02
130,623,16,2023-05-06,677621,285142,2023-05-21
131,99,72,2023-07-06,499834,508136,
132,323,48,2023-07-31,400234,410069,
133,156,68,2023-08-04,84394,38204,2023-08-09
134,705,60,2023-04-27,908012,42796,2023-07-24
135,666,56,2023-08-08,167265,183638,
