customer_id,subscription_status,country,currency
2845,active,Germany,EUR
2554,active,India,INR
4927,active,India,INR
3572,active,India,INR
4057,active,Canada,CAD
5836,inactive,USA,USD
3479,active,Germany,EUR
206,active,UK,GBP
7194,inactive,USA,USD
6530,inactive,USA,USD
517,active,Japan,JPY
7160,inactive,India,INR
7374,inactive,USA,USD
1234,active,India,INR
6553,inactive,USA,USD
880,active,India,INR
2238,active,Canada,CAD
4066,active,USA,USD
2165,active,USA,USD
3468,active,Canada,CAD
5669,inactive,Germany,EUR
2811,active,Canada,CAD
5491,inactive,India,INR
4981,active,Germany,EUR
7594,inactive,USA,USD
5968,inactive,India,INR
1459,active,Canada,CAD
3196,active,UK,GBP
1097,active,Germany,EUR
607,active,UK,GBP
4935,active,UK,GBP
5548,inactive,Germany,EUR
2149,active,Germany,EUR
1345,active,Canada,CAD
4626,active,Germany,EUR
3028,active,Japan,JPY
1130,active,Germany,EUR
5834,inactive,UK,GBP
5143,inactive,Japan,JPY
4647,active,UK,GBP
7231,inactive,Canada,CAD
6215,inactive,Canada,CAD
7639,inactive,Germany,EUR
6992,inactive,UK,GBP
7131,inactive,India,INR
573,active,Germany,EUR
7932,inactive,India,INR
4781,active,UK,GBP
6730,inactive,Canada,CAD
4080,active,Japan,JPY
3305,active,India,INR
3429,active,Germany,EUR
268,active,Canada,CAD
7488,inactive,USA,USD
502,active,USA,USD
3453,active,Germany,EUR
2119,active,Canada,CAD
6291,inactive,USA,USD
7837,inactive,USA,USD
577,active,Germany,EUR
5989,inactive,India,INR
7966,inactive,India,INR
343,active,USA,USD
6680,inactive,India,INR
4401,active,India,INR
423,active,India,INR
6902,inactive,USA,USD
3458,active,Japan,JPY
945,active,UK,GBP
6807,inactive,Japan,JPY
3787,active,Canada,CAD
2286,active,UK,GBP
3089,active,Canada,CAD
4624,active,UK,GBP
1401,active,Japan,JPY
6740,inactive,Japan,JPY
5060,inactive,UK,GBP
6000,inactive,USA,USD
383,active,UK,GBP
1740,active,UK,GBP
4984,active,Japan,JPY
7146,inactive,India,INR
7896,inactive,USA,USD
6929,inactive,Germany,EUR
1357,active,Germany,EUR
4698,active,USA,USD
772,active,Japan,JPY
5780,inactive,Germany,EUR
2769,active,Germany,EUR
6246,inactive,Canada,CAD
3273,active,UK,GBP
326,active,Japan,JPY
765,active,UK,GBP
1886,active,USA,USD
1963,active,India,INR
2173,active,Canada,CAD
7522,inactive,India,INR
1338,active,Japan,JPY
3951,active,India,INR
5739,inactive,Germany,EUR
3633,active,UK,GBP
118,active,India,INR
45,active,USA,USD
8061,inactive,Canada,CAD
3639,active,USA,USD
814,active,USA,USD
7249,inactive,Germany,EUR
3515,active,Japan,JPY
2269,active,USA,USD
3526,active,USA,USD
1077,active,Japan,JPY
2185,active,Germany,EUR
4363,active,India,INR
3729,active,UK,GBP
7358,inactive,Japan,JPY
3003,active,USA,USD
25,active,Japan,JPY
2807,active,USA,USD
2470,active,India,INR
3300,active,UK,GBP
6146,inactive,UK,GBP
522,active,Germany,EUR
6123,inactive,Canada,CAD
5187,inactive,Japan,JPY
608,active,Japan,JPY
1419,active,India,INR
5783,inactive,Japan,JPY
5878,inactive,USA,USD
5433,inactive,India,INR
