subscription_id,customer_id,renewal_date,subscription_length_months
10034,9934,20-07-2023,3
8501,8401,28-07-2023,12
9019,8919,21-07-2023,6
7290,7190,26-05-2023,3
5227,5127,22-05-2023,12
272,172,28-05-2023,6
9419,9319,05-06-2023,6
802,702,30-05-2023,1
8500,8400,08-07-2023,12
9951,9851,11-05-2023,12
3248,3148,11-06-2023,6
5339,5239,01-07-2023,1
5954,5854,08-06-2023,6
5674,5574,19-05-2023,1
9734,9634,01-06-2023,12
8443,8343,28-06-2023,6
4084,3984,09-05-2023,12
5894,5794,01-08-2023,1
7347,7247,15-07-2023,6
7993,7893,06-07-2023,6
6449,6349,16-07-2023,6
6872,6772,23-07-2023,1
8183,8083,30-07-2023,1
4416,4316,08-06-2023,3
7819,7719,18-06-2023,6
6780,6680,13-07-2023,1
3484,3384,07-06-2023,12
309,209,15-07-2023,12
7182,7082,11-07-2023,1
2478,2378,05-07-2023,12
2416,2316,07-07-2023,12
3427,3327,25-06-2023,3
1010,910,22-05-2023,3
6089,5989,16-07-2023,6
5574,5474,09-07-2023,3
5922,5822,26-07-2023,3
232,132,19-07-2023,6
4693,4593,17-07-2023,6
4696,4596,17-07-2023,6
382,282,16-06-2023,3
2439,2339,01-08-2023,6
4139,4039,11-07-2023,1
2215,2115,03-05-2023,12
3407,3307,13-06-2023,12
6348,6248,04-07-2023,12
9539,9439,03-05-2023,1
1195,1095,28-05-2023,6
3954,3854,25-07-2023,12
1089,989,16-07-2023,12
4770,4670,31-05-2023,1
6010,5910,17-06-2023,3
2451,2351,24-05-2023,12
4899,4799,18-05-2023,12
1575,1475,22-07-2023,3
2813,2713,14-06-2023,3
8843,8743,28-07-2023,12
8761,8661,09-05-2023,1
1206,1106,18-07-2023,12
3081,2981,11-05-2023,1
5918,5818,06-05-2023,3
3922,3822,31-05-2023,3
8306,8206,03-05-2023,1
1543,1443,23-05-2023,12
3673,3573,14-07-2023,3
3368,3268,15-07-2023,1
5262,5162,01-05-2023,3
2655,2555,02-05-2023,3
8801,8701,19-07-2023,12
2389,2289,02-05-2023,6
2865,2765,21-07-2023,1
2335,2235,18-06-2023,12
777,677,11-07-2023,6
9207,9107,09-05-2023,6
9255,9155,20-06-2023,3
9366,9266,06-06-2023,12
749,649,25-07-2023,6
2547,2447,29-06-2023,6
1802,1702,25-05-2023,3
9527,9427,19-05-2023,3
8952,8852,14-06-2023,1
8107,8007,26-06-2023,12
5350,5250,10-05-2023,1
6341,6241,30-07-2023,12
7240,7140,27-07-2023,12
4501,4401,19-06-2023,3
694,594,08-06-2023,1
2623,2523,29-05-2023,3
7937,7837,06-05-2023,1
1174,1074,11-06-2023,1
6971,6871,05-05-2023,12
8840,8740,28-05-2023,12
9371,9271,12-06-2023,12
2166,2066,06-07-2023,1
9110,9010,07-07-2023,1
7871,7771,07-05-2023,6
6051,5951,19-05-2023,6
7958,7858,11-07-2023,1
4789,4689,10-06-2023,6
915,815,04-05-2023,1
7079,6979,18-05-2023,6
8338,8238,01-06-2023,6
9630,9530,24-05-2023,6
3053,2953,26-06-2023,1
3130,3030,29-06-2023,6
8282,8182,24-06-2023,6
3131,3031,02-05-2023,3
4747,4647,11-05-2023,12
4141,4041,24-06-2023,12
1246,1146,11-07-2023,3
4055,3955,21-05-2023,6
6095,5995,24-05-2023,12
8842,8742,15-06-2023,1
7594,7494,16-05-2023,6
5525,5425,20-05-2023,1
9632,9532,31-07-2023,3
731,631,29-06-2023,12
2444,2344,20-05-2023,12
2727,2627,18-07-2023,1
9786,9686,16-05-2023,1
325,225,27-05-2023,3
7002,6902,08-05-2023,6
5043,4943,26-07-2023,3
3872,3772,17-07-2023,6
2113,2013,12-06-2023,12
1570,1470,25-07-2023,6
7716,7616,09-06-2023,3
4048,3948,07-05-2023,6
970,870,03-07-2023,6
2734,2634,19-07-2023,6
5401,5301,28-07-2023,3
2472,2372,06-05-2023,3
8235,8135,15-06-2023,12
7130,7030,16-06-2023,1
1398,1298,07-07-2023,3
10043,9943,09-06-2023,1
1400,1300,18-06-2023,1
7715,7615,02-06-2023,6
1837,1737,07-05-2023,3
992,892,12-05-2023,12
3370,3270,13-06-2023,1
5370,5270,16-06-2023,6
2852,2752,02-05-2023,12
7661,7561,30-07-2023,12
7589,7489,07-06-2023,6
125,25,02-05-2023,6
7607,7507,31-05-2023,3
6964,6864,22-06-2023,6
4017,3917,20-05-2023,12
2770,2670,12-05-2023,1
6752,6652,03-06-2023,6
908,808,04-07-2023,6
9181,9081,16-07-2023,3
4174,4074,06-05-2023,3
7070,6970,01-08-2023,3
2884,2784,12-06-2023,1
5544,5444,25-06-2023,3
4917,4817,06-05-2023,6
8053,7953,13-07-2023,1
7780,7680,06-06-2023,1
9911,9811,23-06-2023,12
2689,2589,10-07-2023,12
8498,8398,04-07-2023,12
3995,3895,08-06-2023,3
3581,3481,20-05-2023,1
321,221,07-05-2023,12
2052,1952,02-06-2023,12
5806,5706,06-07-2023,3
4628,4528,09-07-2023,3
7895,7795,03-07-2023,12
9283,9183,19-07-2023,1
1188,1088,28-06-2023,3
2503,2403,11-07-2023,6
7279,7179,02-05-2023,12
9619,9519,17-06-2023,3
2593,2493,19-06-2023,6
7951,7851,13-06-2023,6
4155,4055,19-07-2023,3
8309,8209,31-07-2023,1
9151,9051,23-05-2023,3
3601,3501,22-07-2023,3
8673,8573,09-07-2023,1
2051,1951,05-07-2023,3
3396,3296,02-07-2023,6
7105,7005,19-06-2023,1
8439,8339,04-07-2023,12
3644,3544,15-06-2023,12
5523,5423,16-05-2023,6
1278,1178,05-07-2023,12
6997,6897,19-05-2023,3
5786,5686,03-05-2023,3
259,159,23-05-2023,12
6758,6658,01-05-2023,12
3321,3221,18-07-2023,6
2594,2494,12-06-2023,3
9800,9700,29-07-2023,1
9243,9143,11-05-2023,6
5285,5185,22-05-2023,6
2807,2707,14-07-2023,6
6982,6882,02-06-2023,3
6621,6521,04-05-2023,12
4099,3999,28-07-2023,3
3240,3140,15-05-2023,3
8906,8806,31-07-2023,12
6229,6129,20-06-2023,3
2078,1978,16-07-2023,6
9424,9324,21-06-2023,6
7580,7480,01-05-2023,12
6311,6211,17-07-2023,3
8562,8462,18-07-2023,3
8398,8298,05-06-2023,12
3179,3079,11-07-2023,6
1573,1473,13-06-2023,6
6956,6856,04-07-2023,3
226,126,11-05-2023,12
1799,1699,21-05-2023,1
5560,5460,27-06-2023,1
3039,2939,19-05-2023,12
9493,9393,11-07-2023,12
5263,5163,02-07-2023,1
1227,1127,23-07-2023,1
2692,2592,25-06-2023,6
1915,1815,12-06-2023,3
7457,7357,08-06-2023,1
7726,7626,12-07-2023,1
4942,4842,23-06-2023,12
5054,4954,26-06-2023,12
